Verse,NIV,ESV
Romans 8:1,"Therefore, there is now no condemnation for those who are in Christ Jesus,","There is therefore now no condemnation for those who are in Christ Jesus."
Romans 8:2,"because through Christ Jesus the law of the Spirit who gives life has set you free from the law of sin and death.","For the law of the Spirit of life has set you free in Christ Jesus from the law of sin and death."
Romans 8:3,"For what the law was powerless to do because it was weakened by the flesh, God did by sending his own Son in the likeness of sinful flesh to be a sin offering. And so he condemned sin in the flesh,","For God has done what the law, weakened by the flesh, could not do. By sending his own Son in the likeness of sinful flesh and for sin, he condemned sin in the flesh,"
Romans 8:4,"in order that the righteous requirement of the law might be fully met in us, who do not live according to the flesh but according to the Spirit.","in order that the righteous requirement of the law might be fulfilled in us, who walk not according to the flesh but according to the Spirit."
Romans 8:5,"Those who live according to the flesh have their minds set on what the flesh desires; but those who live in accordance with the Spirit have their minds set on what the Spirit desires.","For those who live according to the flesh set their minds on the things of the flesh, but those who live according to the Spirit set their minds on the things of the Spirit."
Romans 8:6,"The mind governed by the flesh is death, but the mind governed by the Spirit is life and peace.","For to set the mind on the flesh is death, but to set the mind on the Spirit is life and peace."
Romans 8:7,"The mind governed by the flesh is hostile to God; it does not submit to God's law, nor can it do so.","For the mind that is set on the flesh is hostile to God, for it does not submit to God's law; indeed, it cannot."
Romans 8:8,"Those who are in the realm of the flesh cannot please God.","Those who are in the flesh cannot please God."
Romans 8:9,"You, however, are not in the realm of the flesh but are in the realm of the Spirit, if indeed the Spirit of God lives in you. And if anyone does not have the Spirit of Christ, they do not belong to Christ.","You, however, are not in the flesh but in the Spirit, if in fact the Spirit of God dwells in you. Anyone who does not have the Spirit of Christ does not belong to him."
Romans 8:10,"But if Christ is in you, then even though your body is subject to death because of sin, the Spirit gives life because of righteousness.","But if Christ is in you, although the body is dead because of sin, the Spirit is life because of righteousness."
Romans 8:11,"And if the Spirit of him who raised Jesus from the dead is living in you, he who raised Christ from the dead will also give life to your mortal bodies because of his Spirit who lives in you.","If the Spirit of him who raised Jesus from the dead dwells in you, he who raised Christ Jesus from the dead will also give life to your mortal bodies through his Spirit who dwells in you."
Romans 8:12,"Therefore, brothers and sisters, we have an obligation—but it is not to the flesh, to live according to it.","So then, brothers, we are debtors, not to the flesh, to live according to the flesh."
Romans 8:13,"For if you live according to the flesh, you will die; but if by the Spirit you put to death the misdeeds of the body, you will live.","For if you live according to the flesh you will die, but if by the Spirit you put to death the deeds of the body, you will live."
Romans 8:14,"For those who are led by the Spirit of God are the children of God.","For all who are led by the Spirit of God are sons of God."
Romans 8:15,"The Spirit you received does not make you slaves, so that you live in fear again; rather, the Spirit you received brought about your adoption to sonship. And by him we cry, 'Abba, Father.'","For you did not receive the spirit of slavery to fall back into fear, but you have received the Spirit of adoption as sons, by whom we cry, 'Abba! Father!'"
Romans 8:16,"The Spirit himself testifies with our spirit that we are God's children.","The Spirit himself bears witness with our spirit that we are children of God,"
